timestamp_ns	elapsed_ms	rss_kib	hwm_kib	threads	cpu_percent	cgroup_current	cgroup_peak	version_http	health_http
1788891962728602728	23	18816	18944	7	100	60706816	128741376	000	000
1788891963746440433	1040	18944	18944	7	0.9	58556416	128741376	000	000
1788891964765951321	2060	18944	18944	7	0.4	58707968	128741376	000	000
1788891965783521753	3078	18944	18944	7	0.3	58142720	128741376	000	000
1788891966809386676	4103	18944	18944	7	0.2	58191872	128741376	000	000
1788891967828185977	5122	18944	18944	7	0.1	58507264	128741376	000	000
1788891968846454704	6141	18944	18944	7	0.1	58470400	128741376	000	000
1788891969865594297	7160	18944	18944	7	0.1	58159104	128741376	000	000
1788891970882888077	8177	18944	18944	7	0.1	59035648	128741376	000	000
1788891971902544103	9197	18944	18944	7	0.1	58138624	128741376	000	000
1788891972930641778	10225	18944	18944	7	0.0	58015744	128741376	000	000
1788891973948134290	11242	18944	18944	7	0.0	58458112	128741376	000	000
1788891974966475529	12261	18944	18944	7	0.0	59142144	128741376	000	000
1788891975996155752	13290	18944	18944	7	0.0	58912768	128741376	000	000
1788891979021125506	16315	18944	18944	7	0.0	58572800	128741376	000	000
1788891980037641717	17332	18944	18944	7	0.0	58462208	128741376	000	000
1788891981057114179	18351	18944	18944	7	0.0	59047936	128741376	000	000
1788891982074826640	19369	18944	18944	7	0.0	58888192	128741376	000	000
1788891983094619665	20389	18944	18944	7	0.0	58540032	128741376	000	000
1788891984115456767	21410	18944	18944	7	0.0	58744832	128741376	000	000
1788891985136522333	22431	18944	18944	7	0.0	58572800	128741376	000	000
1788891986154050759	23448	18944	18944	7	0.0	58105856	128741376	000	000
1788891987178555034	24473	18944	18944	7	0.0	58753024	128741376	000	000
1788891988198505504	25493	18944	18944	7	0.0	58998784	128741376	000	000
1788891989215466511	26510	18944	18944	7	0.0	58662912	128741376	000	000
1788891990233830151	27528	20172	20480	7	1.4	60190720	128741376	000	000
1788891991250597068	28545	20940	20940	7	3.1	60145664	128741376	000	000
1788891992268841435	29563	20940	20940	7	4.6	60686336	128741376	000	000
